name,description,owner_avatar_url,html_url,stargazers_count,created_at,updated_at,pushed_at
billboard.js," 📊 Re-usable, easy interface JavaScript chart library based on D3.js",https://avatars.githubusercontent.com/u/6589568?v=4,https://github.com/naver/billboard.js,5796,2017-06-08T02:54:44Z,2024-08-17T07:49:28Z,2024-08-15T00:47:11Z
britecharts,Composable Charting Library based on reusable D3.js components.,https://avatars.githubusercontent.com/u/63871609?v=4,https://github.com/britecharts/britecharts,3739,2015-05-19T22:42:39Z,2024-08-14T20:32:58Z,2023-09-05T09:22:01Z
chart-parts,"A flexible, React-friendly, Grammar of Graphics for data visualization",https://avatars.githubusercontent.com/u/6154722?v=4,https://github.com/microsoft/chart-parts,607,2018-08-22T21:27:27Z,2024-07-29T07:03:02Z,2023-06-09T23:33:47Z
cubism,Cubism.js: A JavaScript library for time series visualization.,https://avatars.githubusercontent.com/u/82592?v=4,https://github.com/square/cubism,4939,2012-03-28T20:30:48Z,2024-08-09T04:06:59Z,2023-03-19T08:29:27Z
c3,:bar_chart: A D3-based reusable chart library,https://avatars.githubusercontent.com/u/9966497?v=4,https://github.com/c3js/c3,9336,2013-07-18T06:51:40Z,2024-08-14T11:30:44Z,2024-06-20T06:12:32Z
dagre-d3,A D3-based renderer for Dagre,https://avatars.githubusercontent.com/u/34791034?v=4,https://github.com/dagrejs/dagre-d3,2833,2013-09-26T03:44:19Z,2024-08-16T12:09:10Z,2024-03-13T15:09:07Z
dc.js,Multi-Dimensional charting built to work natively with crossfilter rendered with d3.js,https://avatars.githubusercontent.com/u/6378965?v=4,https://github.com/dc-js/dc.js,7416,2012-06-19T14:20:30Z,2024-08-16T23:02:59Z,2024-07-31T16:01:22Z
d2b,Reusable d3-based chart library.,https://avatars.githubusercontent.com/u/25933194?v=4,https://github.com/d2bjs/d2b,98,2017-02-21T16:12:26Z,2024-03-07T09:03:59Z,2022-12-03T12:34:31Z
d3-bar,D3 bar chart,https://avatars.githubusercontent.com/u/25254?v=4,https://github.com/tj/d3-bar,173,2016-03-18T00:23:02Z,2023-08-23T01:59:44Z,2019-04-30T11:27:16Z
d3-beeswarm,D3 plugin which computes a 'beeswarm' arrangement,https://avatars.githubusercontent.com/u/4328986?v=4,https://github.com/Kcnarf/d3-beeswarm,52,2016-06-07T07:41:29Z,2024-06-17T18:28:01Z,2022-08-16T09:47:45Z
d3-boxplot,d3js box plot plugin,https://avatars.githubusercontent.com/u/2233956?v=4,https://github.com/akngs/d3-boxplot,23,2019-02-20T00:48:53Z,2024-06-20T15:18:33Z,2023-03-10T23:56:54Z
d3-bumps-chart,A d3 plugin for visualizing bumps charts,https://avatars.githubusercontent.com/u/981531?v=4,https://github.com/johnwalley/d3-bumps-chart,14,2016-09-01T10:26:11Z,2024-01-14T12:44:17Z,2023-12-24T22:43:38Z
d3-dag,Layout algorithms for visualizing directed acyclic graphs,https://avatars.githubusercontent.com/u/858926?v=4,https://github.com/erikbrinkman/d3-dag,1439,2018-07-06T03:31:09Z,2024-08-16T16:55:35Z,2024-06-19T19:29:23Z
d3-ez,D3-EZ Easy Reusable Charts,https://avatars.githubusercontent.com/u/13055416?v=4,https://github.com/jamesleesaunders/d3-ez,49,2015-07-08T08:44:55Z,2024-06-20T20:34:26Z,2024-08-16T23:34:48Z
d3-flame-graph,A D3.js plugin that produces flame graphs from hierarchical data.,https://avatars.githubusercontent.com/u/2207415?v=4,https://github.com/spiermar/d3-flame-graph,875,2015-10-02T22:49:28Z,2024-08-16T07:40:55Z,2024-06-06T16:22:36Z
d3-funnel,A JavaScript library for rendering funnel charts using the D3.js framework.,https://avatars.githubusercontent.com/u/3210703?v=4,https://github.com/jakezatecky/d3-funnel,331,2014-07-15T23:02:30Z,2024-07-03T19:33:36Z,2024-07-29T10:07:15Z
d3-gridding,grids for rapid D3 charts mockups,https://avatars.githubusercontent.com/u/586236?v=4,https://github.com/romsson/d3-gridding,104,2016-07-28T11:50:39Z,2024-03-03T00:08:20Z,2022-07-20T18:20:32Z
d3-heatmap,D3 heatmap ,https://avatars.githubusercontent.com/u/25254?v=4,https://github.com/tj/d3-heatmap,243,2016-03-18T22:12:00Z,2023-07-06T13:28:13Z,2016-06-03T20:58:46Z
