name,description,owner_avatar_url,html_url,stargazers_count,created_at,updated_at,pushed_at
ant-design,An enterprise-class UI design language and React UI library,https://avatars.githubusercontent.com/u/12101536?v=4,https://github.com/ant-design/ant-design,91603,2015-04-24T15:37:24Z,2024-08-19T06:53:46Z,2024-08-19T06:50:21Z
material-ui,"Material UI: Ready-to-use foundational React components, free forever. It includes Material UI, which implements Google's Material Design.",https://avatars.githubusercontent.com/u/33663932?v=4,https://github.com/mui/material-ui,92977,2014-08-18T19:11:54Z,2024-08-19T07:00:58Z,2024-08-19T07:19:40Z
Semantic-UI,Semantic is a UI component framework based around useful principles from natural language.,https://avatars.githubusercontent.com/u/5796209?v=4,https://github.com/Semantic-Org/Semantic-UI,51091,2013-04-08T23:32:04Z,2024-08-19T06:08:39Z,2024-06-17T09:33:29Z
blueprint,A React-based UI toolkit for the web,https://avatars.githubusercontent.com/u/303157?v=4,https://github.com/palantir/blueprint,20596,2016-10-25T21:17:50Z,2024-08-18T15:03:32Z,2024-08-19T05:07:03Z
evergreen,🌲 Evergreen React UI Framework by Segment,https://avatars.githubusercontent.com/u/819518?v=4,https://github.com/segmentio/evergreen,12376,2017-07-30T10:03:14Z,2024-08-19T02:04:14Z,2024-07-09T04:30:28Z
chakra-ui,"⚡️ Simple, Modular & Accessible UI Components for your React Applications",https://avatars.githubusercontent.com/u/54212428?v=4,https://github.com/chakra-ui/chakra-ui,37321,2019-08-17T14:27:54Z,2024-08-19T07:12:22Z,2024-08-19T06:56:48Z
fluentui,"Fluent UI web represents a collection of utilities, React components, and web components for building web applications.",https://avatars.githubusercontent.com/u/6154722?v=4,https://github.com/microsoft/fluentui,18230,2016-06-06T15:03:44Z,2024-08-19T05:12:08Z,2024-08-19T06:53:53Z
react-bootstrap,Bootstrap components built with React,https://avatars.githubusercontent.com/u/6853419?v=4,https://github.com/react-bootstrap/react-bootstrap,22343,2013-12-27T19:06:07Z,2024-08-19T06:12:26Z,2024-08-11T04:21:06Z
grommet,"a react-based framework that provides accessibility, modularity, responsiveness, and theming in a tidy package",https://avatars.githubusercontent.com/u/14203820?v=4,https://github.com/grommet/grommet,8313,2015-03-24T08:54:10Z,2024-08-17T13:57:07Z,2024-08-15T16:38:01Z
carbon,A design system built by IBM,https://avatars.githubusercontent.com/u/25179978?v=4,https://github.com/carbon-design-system/carbon,7680,2017-03-13T14:23:59Z,2024-08-19T07:02:04Z,2024-08-19T06:56:11Z
element,A Vue.js 2.0 UI Toolkit for Web,https://avatars.githubusercontent.com/u/12810740?v=4,https://github.com/ElemeFE/element,54071,2016-09-03T06:19:26Z,2024-08-19T04:18:35Z,2024-08-09T09:14:26Z
vuetify,🐉 Vue Component Framework,https://avatars.githubusercontent.com/u/22138497?v=4,https://github.com/vuetifyjs/vuetify,39550,2016-09-12T00:39:35Z,2024-08-19T02:31:50Z,2024-08-18T08:01:11Z
nextui,"🚀   Beautiful, fast and modern React UI library.",https://avatars.githubusercontent.com/u/86160567?v=4,https://github.com/nextui-org/nextui,21112,2021-04-22T13:06:23Z,2024-08-19T03:49:00Z,2024-08-19T06:03:37Z
bulma,Modern CSS framework based on Flexbox,https://avatars.githubusercontent.com/u/1254808?v=4,https://github.com/jgthms/bulma,49057,2016-01-23T23:48:34Z,2024-08-19T02:09:04Z,2024-08-16T17:28:40Z
mantine,A fully featured React components library,https://avatars.githubusercontent.com/u/79146003?v=4,https://github.com/mantinedev/mantine,25815,2021-01-07T14:02:19Z,2024-08-19T05:12:16Z,2024-08-16T14:44:01Z
themes,"Radix Themes is an open-source component library optimized for fast development, easy maintenance, and accessibility. Maintained by @workos.",https://avatars.githubusercontent.com/u/75042455?v=4,https://github.com/radix-ui/themes,5029,2023-06-15T12:21:08Z,2024-08-18T15:02:03Z,2024-08-18T22:12:35Z
magicui,UI Library for Design Engineers. Animated components and effects you can copy and paste into your apps. Free. Open Source.,https://avatars.githubusercontent.com/u/166878038?v=4,https://github.com/magicuidesign/magicui,7036,2023-06-26T19:17:10Z,2024-08-19T07:10:17Z,2024-08-19T02:07:40Z
ui,Beautifully designed components that you can copy and paste into your apps. Accessible. Customizable. Open Source.,https://avatars.githubusercontent.com/u/139895814?v=4,https://github.com/shadcn-ui/ui,66604,2023-01-04T12:43:27Z,2024-08-19T06:48:50Z,2024-08-18T19:35:26Z
